id,code,name,reconcile,user_type_id/id,chart_template_id/id
ekec610246,610249,OTROS GASTOS DE PLANES DE BENEFICIOS A EMPLEADOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610247,610250,ARRENDAMIENTO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610248,610251,COMISIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610249,610252,PROMOCION Y PUBLICIDAD,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022817,610253,GND OTROS GASTOS NO DEDUCIBLES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610251,610254,INTERESES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610252,610255,COMISIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610253,610256,GASTOS DE FINANCIAMIENTO DE ACTIVOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610254,610257,DIFERENCIA EN CAMBIO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610255,610258,OTROS GASTOS FINANCIEROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610256,610259,PERDIDA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec6103,6103,FINANCIEROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610301,610301,INTERESES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610302,610302,NO DEDUCIBLES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610303,610303,MANTENIMIENTO Y REPARACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610304,610304,ARRENDAMIENTO OPERATIVO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610305,610305,COMISIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610306,610306,PROMOCION Y PUBLICIDAD,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610307,610307,TRANSPORTE,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610308,610308,GASTOS DE GESTION (agasajos a accionistas trabajadores y clientes),FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610309,610309,GASTOS DE VIAJE,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610310,610310,AGUA POTABLE,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610311,610311,ENERGIA ELECTRICA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610312,610312,TELEFONIA FIJA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610313,610313,TELEFONIA MOVIL,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610314,610314,IMPUESTOS CONTRIBUCIONES Y OTROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610315,610315,MUEBLES Y ENSERES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610316,610316,MAQUINARIA Y EQUIPO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610317,610317,EQUIPO DE COMPUTACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610318,610318,OTROS PROPIEDADES PLANTA Y EQUIPO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610319,610319,REPUESTOS Y HERRAMIENTAS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610320,610320,SERVICIO DE IMPRENTA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610321,610321,SUMINISTROS DE OFICINA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610322,610322,SUMINISTROS Y ARTICULOS DE ASEO Y LIMPIEZA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610323,610323,GUIAS COURIERS Y CORREOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610324,610324,PEAJES PARQUEADEROS Y OTROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610325,610325,CAPACITACION CURSOS Y SEMINARIOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
